================================================================================================
DAILY-MEAN CONTRACT CHECK — D+1, thresholds: {"pm25": {"r2": 0.7, "rmse": 20.0}, "no2": {"r2": 0.7, "rmse": 20.0}, "o3": {"r2": 0.7, "rmse": 20.0}, "so2": {"r2": 0.7, "rmse": 20.0}, "pm10": {"r2": 0.5, "rmse": 45.0}}
================================================================================================
pollutant  window                            pass  marg  fail total
 6929 Major Dhyan Chand National PM10   holdout_120d                        53.69    0.281    57.39
10825 Gurugram (Sector 51)       PM10   fold_3                              85.05    0.285   116.92
 5541 Burari Crossing            PM10   fold_3                              56.88    0.286    72.19
 8917 Ashok Vihar                PM10   fold_3                              69.92    0.288    94.27
 6978 Greater Noida (Knowledge P PM10   holdout_120d                        79.38    0.289    93.60
 5650 IGI Airport (T3)           PM10   fold_2                              97.93    0.292   116.17
 5665 Ghaziabad (Vasundhara)     PM10   fold_1_stubble_oct_nov_2025        121.00    0.302   140.28
 8475 Sonia Vihar                PM10   fold_1_stubble_oct_nov_2025         96.94    0.325    80.79
 8475 Sonia Vihar                PM10   fold_2                             100.09    0.328    94.55
 6358 Mandir Marg                PM10   fold_1_stubble_oct_nov_2025         84.22    0.331   105.77
10484 Sri Aurobindo Marg         PM10   fold_1_stubble_oct_nov_2025         76.86    0.364    97.64
 7005 Ghaziabad (Loni)           PM10   fold_2                             110.54    0.365   110.29
 8365 Nehru Nagar                PM10   fold_1_stubble_oct_nov_2025        109.67    0.369   131.83
 8915 Wazirpur                   PM10   fold_1_stubble_oct_nov_2025        134.76    0.372   139.77
 6931 Dwarka Sector 8            PM10   fold_2                              98.62    0.376   119.07
 5665 Ghaziabad (Vasundhara)     PM10   fold_2                             110.91    0.395   132.47
 6934 Dr. Karni Singh Shooting R PM10   fold_1_stubble_oct_nov_2025         80.74    0.404    82.68
 8917 Ashok Vihar                PM10   fold_1_stubble_oct_nov_2025        104.52    0.404   116.59
 5541 Burari Crossing            PM10   fold_2                              93.53    0.431   103.62
  301 Gurugram (Vikas Sadan)     PM10   fold_3                              79.87    0.448   105.22
 5586 Siri Fort                  PM10   fold_1_stubble_oct_nov_2025         75.19    0.450    78.68
 6358 Mandir Marg                PM10   fold_2                              76.58    0.459    99.26
10484 Sri Aurobindo Marg         PM10   fold_2                              69.53    0.470    92.24
 5541 Burari Crossing            PM10   fold_1_stubble_oct_nov_2025         90.79    0.470    93.45
 6978 Greater Noida (Knowledge P PM10   fold_2                              72.41    0.474    85.68
 8472 Bawana                     PM10   fold_1_stubble_oct_nov_2025         93.66    0.474    94.26
 8917 Ashok Vihar                PM10   fold_2                             102.69    0.476   122.95
 8365 Nehru Nagar                PM10   fold_2                              97.81    0.487   121.41
 8915 Wazirpur                   PM10   fold_2                             119.92    0.488   131.65
 6934 Dr. Karni Singh Shooting R PM10   fold_2                              76.19    0.489    90.23
 6929 Major Dhyan Chand National PM10   fold_1_stubble_oct_nov_2025         73.05    0.496    87.89
 5586 Siri Fort                  PM10   fold_2                              76.25    0.510    89.55
 5613 ITO                        PM10   fold_2                              87.36    0.517    97.33
 6978 Greater Noida (Knowledge P PM10   fold_1_stubble_oct_nov_2025         76.73    0.521    88.79
  235 Anand Vihar                PM10   fold_2                              98.99    0.527   119.85
 6932 Alipur                     PM10   fold_1_stubble_oct_nov_2025         93.83    0.527    94.95
 8472 Bawana                     PM10   fold_2                              88.65    0.536   105.22
 5626 DTU                        PM10   fold_1_stubble_oct_nov_2025         74.96    0.537    82.60
 5613 ITO                        PM10   fold_1_stubble_oct_nov_2025         83.65    0.547    88.76
 6929 Major Dhyan Chand National PM10   fold_2                              70.34    0.548    88.60
10485 Narela                     PM10   fold_2                              81.69    0.554   104.41
 5626 DTU                        PM10   fold_2                              73.94    0.558    85.45
10485 Narela                     PM10   fold_1_stubble_oct_nov_2025         79.80    0.560    87.21
  235 Anand Vihar                PM10   fold_1_stubble_oct_nov_2025         98.33    0.574   121.43
 6932 Alipur                     PM10   fold_2                              83.44    0.582    89.42
 6988 Noida Sector 116           PM10   fold_2                              83.47    0.680   128.05
 6988 Noida Sector 116           PM10   fold_1_stubble_oct_nov_2025         79.84    0.716   125.79
 5627 CRRI Mathura Road          PM2.5  holdout_120d                     41850522937.12 -7005061431081237504.000    15.73
 6957 Jawaharlal Nehru Stadium   PM2.5  holdout_120d                        27.66   -4.266    13.54
 5650 IGI Airport (T3)           PM2.5  holdout_120d                        31.88   -3.056    15.33
   17 R K Puram                  PM2.5  holdout_120d                        31.15   -2.645    18.90
 5586 Siri Fort                  PM2.5  holdout_120d                        19.53   -1.787    14.36
 5598 Noida Sector 125           PM2.5  holdout_120d                        29.02   -1.710    19.90
 8475 Sonia Vihar                PM2.5  holdout_120d                        25.74   -0.950    24.84
 5626 DTU                        PM2.5  holdout_120d                        24.77   -0.897    20.10
10488 Najafgarh                  PM2.5  holdout_120d                        18.20   -0.791    15.56
 6929 Major Dhyan Chand National PM2.5  holdout_120d                        17.64   -0.780    14.90
10825 Gurugram (Sector 51)       PM2.5  holdout_120d                        47.14   -0.648    33.99
 8915 Wazirpur                   PM2.5  holdout_120d                        22.96   -0.563    20.57
 8472 Bawana                     PM2.5  holdout_120d                        30.44   -0.546    26.73
 8917 Ashok Vihar                PM2.5  holdout_120d                        18.42   -0.536    17.59
 6988 Noida Sector 116           PM2.5  holdout_120d                        19.75   -0.529    18.19
 5613 ITO                        PM2.5  holdout_120d                        16.07   -0.484    15.43
10831 Rohini                     PM2.5  holdout_120d                        24.05   -0.417    24.51
 6988 Noida Sector 116           PM2.5  fold_3                              63.17   -0.403    62.38
 5626 DTU                        PM2.5  fold_3                              48.16   -0.375    40.38
   50 Punjabi Bagh               PM2.5  holdout_120d                        20.77   -0.366    21.70
 5627 CRRI Mathura Road          PM2.5  fold_3                              36.92   -0.337    30.07
 6358 Mandir Marg                PM2.5  holdout_120d                        18.84   -0.333    18.55
 8365 Nehru Nagar                PM2.5  holdout_120d                        16.23   -0.330    17.59
10900 Gurugram (Teri Gram)       PM2.5  holdout_120d                        34.00   -0.296    36.75
 6924 Ghaziabad (Indirapuram)    PM2.5  holdout_120d                        20.24   -0.279    20.53
 8235 Jahangirpuri               PM2.5  holdout_120d                        22.90   -0.229    22.88
 6358 Mandir Marg                PM2.5  fold_3                              36.69   -0.229    35.10
 5634 Lodhi Road                 PM2.5  holdout_120d                        13.22   -0.224    15.03
  301 Gurugram (Vikas Sadan)     PM2.5  holdout_120d                        56.22   -0.154    41.82
 5541 Burari Crossing            PM2.5  holdout_120d                        16.02   -0.108    17.06
10820 Faridabad (Sector 30)      PM2.5  holdout_120d                        29.21   -0.062    22.85
 6924 Ghaziabad (Indirapuram)    PM2.5  fold_1_stubble_oct_nov_2025         82.32   -0.048    90.50
10820 Faridabad (Sector 30)      PM2.5  fold_3                              16.62   -0.047    16.39
10908 Faridabad (Sector 11)      PM2.5  holdout_120d                        37.81   -0.030    42.21
  301 Gurugram (Vikas Sadan)     PM2.5  fold_1_stubble_oct_nov_2025        455.48   -0.029   672.68
  301 Gurugram (Vikas Sadan)     PM2.5  fold_2                             353.99   -0.027   520.27
10484 Sri Aurobindo Marg         PM2.5  holdout_120d                        11.69   -0.009    11.79
10908 Faridabad (Sector 11)      PM2.5  fold_2                             498.58   -0.004   535.03
10908 Faridabad (Sector 11)      PM2.5  fold_1_stubble_oct_nov_2025        638.46   -0.001   689.64
 5665 Ghaziabad (Vasundhara)     PM2.5  holdout_120d                        18.09    0.016    24.29
10919 Ghaziabad (Sanjay Nagar)   PM2.5  holdout_120d                        18.88    0.046    21.30
10900 Gurugram (Teri Gram)       PM2.5  fold_1_stubble_oct_nov_2025      81528.59    0.056 126431.47
 5610 Shadipur                   PM2.5  holdout_120d                        15.01    0.060    18.47
  235 Anand Vihar                PM2.5  holdout_120d                        36.61    0.062    40.04
 5634 Lodhi Road                 PM2.5  fold_3                              21.86    0.066    25.72
 6931 Dwarka Sector 8            PM2.5  holdout_120d                        16.47    0.068    19.70
10900 Gurugram (Teri Gram)       PM2.5  fold_2                           58901.81    0.068 91001.89
 6359 Vivek Vihar                PM2.5  holdout_120d                        31.95    0.070    60.06
10825 Gurugram (Sector 51)       PM2.5  fold_3                              58.43    0.071    71.37
 6924 Ghaziabad (Indirapuram)    PM2.5  fold_2                              70.50    0.072    74.83
10825 Gurugram (Sector 51)       PM2.5  fold_1_stubble_oct_nov_2025        251.80    0.087   374.77
